Organization,Availability,Division,SystemType,SystemName,Platform,Model,MlperfModel,Scenario,Result,Accuracy,number_of_nodes,host_processor_model_name,host_processors_per_node,host_processor_core_count,accelerator_model_name,accelerators_per_node,Location,framework,operating_system,notes,compliance,errors,version,inferred,has_power,Units,weight_data_types
GATEOverflow,available,open,"edge","i_06a0fc1c2eadb7d9f",aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing,mobilenet-v3-precision_float-small-224,resnet,Offline,174.906,acc: 68.336,1,"Neoverse-N1",1,2,"N/A","0",open/GATEOverflow/results/aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing/mobilenet-v3-precision_float-small-224/offline,"tflite vmaster","Ubuntu 24.04 (linux-6.8.0-1021-aws-glibc2.39)","",1,0,v5.0,1,False,Samples/s,"fp32"
GATEOverflow,available,open,"edge","i_06a0fc1c2eadb7d9f",aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing,mobilenet-v2-precision_float-0.75-224,resnet,SingleStream,15.784364,acc: 70.122,1,"Neoverse-N1",1,2,"N/A","0",open/GATEOverflow/results/aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing/mobilenet-v2-precision_float-0.75-224/singlestream,"tflite vmaster","Ubuntu 24.04 (linux-6.8.0-1021-aws-glibc2.39)","",1,0,v5.0,0,False,Latency (ms),"fp32"
GATEOverflow,available,open,"edge","i_06a0fc1c2eadb7d9f",aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing,mobilenet-v2-precision_float-0.75-224,resnet,MultiStream,133.540904,acc: 70.122,1,"Neoverse-N1",1,2,"N/A","0",open/GATEOverflow/results/aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing/mobilenet-v2-precision_float-0.75-224/multistream,"tflite vmaster","Ubuntu 24.04 (linux-6.8.0-1021-aws-glibc2.39)","",1,0,v5.0,1,False,Latency (ms),"fp32"
GATEOverflow,available,open,"edge","i_06a0fc1c2eadb7d9f",aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing,mobilenet-v2-precision_float-0.75-224,resnet,Offline,63.8785,acc: 70.122,1,"Neoverse-N1",1,2,"N/A","0",open/GATEOverflow/results/aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing/mobilenet-v2-precision_float-0.75-224/offline,"tflite vmaster","Ubuntu 24.04 (linux-6.8.0-1021-aws-glibc2.39)","",1,0,v5.0,1,False,Samples/s,"fp32"
GATEOverflow,available,open,"edge","i_06a0fc1c2eadb7d9f",aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing,mobilenet-v2-precision_float-0.35-160,resnet,SingleStream,3.10243,acc: 56.988,1,"Neoverse-N1",1,2,"N/A","0",open/GATEOverflow/results/aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing/mobilenet-v2-precision_float-0.35-160/singlestream,"tflite vmaster","Ubuntu 24.04 (linux-6.8.0-1021-aws-glibc2.39)","",1,0,v5.0,0,False,Latency (ms),"fp32"
GATEOverflow,available,open,"edge","i_06a0fc1c2eadb7d9f",aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing,mobilenet-v2-precision_float-0.35-160,resnet,MultiStream,26.438296,acc: 56.988,1,"Neoverse-N1",1,2,"N/A","0",open/GATEOverflow/results/aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing/mobilenet-v2-precision_float-0.35-160/multistream,"tflite vmaster","Ubuntu 24.04 (linux-6.8.0-1021-aws-glibc2.39)","",1,0,v5.0,1,False,Latency (ms),"fp32"
GATEOverflow,available,open,"edge","i_06a0fc1c2eadb7d9f",aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing,mobilenet-v2-precision_float-0.35-160,resnet,Offline,327.999,acc: 56.988,1,"Neoverse-N1",1,2,"N/A","0",open/GATEOverflow/results/aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing/mobilenet-v2-precision_float-0.35-160/offline,"tflite vmaster","Ubuntu 24.04 (linux-6.8.0-1021-aws-glibc2.39)","",1,0,v5.0,1,False,Samples/s,"fp32"
GATEOverflow,available,open,"edge","i_06a0fc1c2eadb7d9f",aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing,mobilenet-v3-precision_float-large-224,resnet,SingleStream,17.214151,acc: 75.760,1,"Neoverse-N1",1,2,"N/A","0",open/GATEOverflow/results/aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing/mobilenet-v3-precision_float-large-224/singlestream,"tflite vmaster","Ubuntu 24.04 (linux-6.8.0-1021-aws-glibc2.39)","",1,0,v5.0,0,False,Latency (ms),"fp32"
GATEOverflow,available,open,"edge","i_06a0fc1c2eadb7d9f",aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing,mobilenet-v3-precision_float-large-224,resnet,MultiStream,144.842312,acc: 75.760,1,"Neoverse-N1",1,2,"N/A","0",open/GATEOverflow/results/aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing/mobilenet-v3-precision_float-large-224/multistream,"tflite vmaster","Ubuntu 24.04 (linux-6.8.0-1021-aws-glibc2.39)","",1,0,v5.0,1,False,Latency (ms),"fp32"
GATEOverflow,available,open,"edge","i_06a0fc1c2eadb7d9f",aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing,mobilenet-v3-precision_float-large-224,resnet,Offline,58.7186,acc: 75.760,1,"Neoverse-N1",1,2,"N/A","0",open/GATEOverflow/results/aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing/mobilenet-v3-precision_float-large-224/offline,"tflite vmaster","Ubuntu 24.04 (linux-6.8.0-1021-aws-glibc2.39)","",1,0,v5.0,1,False,Samples/s,"fp32"
GATEOverflow,available,open,"edge","i_06a0fc1c2eadb7d9f",aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing,mobilenet-v2-precision_float-1.0-128,resnet,SingleStream,7.254321,acc: 66.036,1,"Neoverse-N1",1,2,"N/A","0",open/GATEOverflow/results/aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing/mobilenet-v2-precision_float-1.0-128/singlestream,"tflite vmaster","Ubuntu 24.04 (linux-6.8.0-1021-aws-glibc2.39)","",1,0,v5.0,0,False,Latency (ms),"fp32"
GATEOverflow,available,open,"edge","i_06a0fc1c2eadb7d9f",aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing,mobilenet-v2-precision_float-1.0-128,resnet,MultiStream,60.803688,acc: 66.036,1,"Neoverse-N1",1,2,"N/A","0",open/GATEOverflow/results/aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing/mobilenet-v2-precision_float-1.0-128/multistream,"tflite vmaster","Ubuntu 24.04 (linux-6.8.0-1021-aws-glibc2.39)","",1,0,v5.0,1,False,Latency (ms),"fp32"
GATEOverflow,available,open,"edge","i_06a0fc1c2eadb7d9f",aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing,mobilenet-v2-precision_float-1.0-128,resnet,Offline,138.772,acc: 66.036,1,"Neoverse-N1",1,2,"N/A","0",open/GATEOverflow/results/aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing/mobilenet-v2-precision_float-1.0-128/offline,"tflite vmaster","Ubuntu 24.04 (linux-6.8.0-1021-aws-glibc2.39)","",1,0,v5.0,1,False,Samples/s,"fp32"
GATEOverflow,available,open,"edge","i_06a0fc1c2eadb7d9f",aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing,mobilenet-v1-precision_float-1.0-192,resnet,SingleStream,25.356063,acc: 70.624,1,"Neoverse-N1",1,2,"N/A","0",open/GATEOverflow/results/aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing/mobilenet-v1-precision_float-1.0-192/singlestream,"tflite vmaster","Ubuntu 24.04 (linux-6.8.0-1021-aws-glibc2.39)","",1,0,v5.0,0,False,Latency (ms),"fp32"
GATEOverflow,available,open,"edge","i_06a0fc1c2eadb7d9f",aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing,mobilenet-v1-precision_float-1.0-192,resnet,MultiStream,210.400968,acc: 70.624,1,"Neoverse-N1",1,2,"N/A","0",open/GATEOverflow/results/aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing/mobilenet-v1-precision_float-1.0-192/multistream,"tflite vmaster","Ubuntu 24.04 (linux-6.8.0-1021-aws-glibc2.39)","",1,0,v5.0,1,False,Latency (ms),"fp32"
GATEOverflow,available,open,"edge","i_06a0fc1c2eadb7d9f",aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing,mobilenet-v1-precision_float-1.0-192,resnet,Offline,39.9579,acc: 70.624,1,"Neoverse-N1",1,2,"N/A","0",open/GATEOverflow/results/aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing/mobilenet-v1-precision_float-1.0-192/offline,"tflite vmaster","Ubuntu 24.04 (linux-6.8.0-1021-aws-glibc2.39)","",1,0,v5.0,1,False,Samples/s,"fp32"
GATEOverflow,available,open,"edge","i_06a0fc1c2eadb7d9f",aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing,mobilenet-v2-precision_float-1.0-192,resnet,SingleStream,15.457187,acc: 70.740,1,"Neoverse-N1",1,2,"N/A","0",open/GATEOverflow/results/aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing/mobilenet-v2-precision_float-1.0-192/singlestream,"tflite vmaster","Ubuntu 24.04 (linux-6.8.0-1021-aws-glibc2.39)","",1,0,v5.0,0,False,Latency (ms),"fp32"
GATEOverflow,available,open,"edge","i_06a0fc1c2eadb7d9f",aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing,mobilenet-v2-precision_float-1.0-192,resnet,MultiStream,129.567704,acc: 70.740,1,"Neoverse-N1",1,2,"N/A","0",open/GATEOverflow/results/aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing/mobilenet-v2-precision_float-1.0-192/multistream,"tflite vmaster","Ubuntu 24.04 (linux-6.8.0-1021-aws-glibc2.39)","",1,0,v5.0,1,False,Latency (ms),"fp32"
GATEOverflow,available,open,"edge","i_06a0fc1c2eadb7d9f",aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing,mobilenet-v2-precision_float-1.0-192,resnet,Offline,65.2239,acc: 70.740,1,"Neoverse-N1",1,2,"N/A","0",open/GATEOverflow/results/aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing/mobilenet-v2-precision_float-1.0-192/offline,"tflite vmaster","Ubuntu 24.04 (linux-6.8.0-1021-aws-glibc2.39)","",1,0,v5.0,1,False,Samples/s,"fp32"
GATEOverflow,available,open,"edge","i_06a0fc1c2eadb7d9f",aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing,mobilenet-v2-precision_float-1.0-224,resnet,SingleStream,21.493007,acc: 71.770,1,"Neoverse-N1",1,2,"N/A","0",open/GATEOverflow/results/aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing/mobilenet-v2-precision_float-1.0-224/singlestream,"tflite vmaster","Ubuntu 24.04 (linux-6.8.0-1021-aws-glibc2.39)","",1,0,v5.0,0,False,Latency (ms),"fp32"
GATEOverflow,available,open,"edge","i_06a0fc1c2eadb7d9f",aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing,mobilenet-v2-precision_float-1.0-224,resnet,MultiStream,180.5754,acc: 71.770,1,"Neoverse-N1",1,2,"N/A","0",open/GATEOverflow/results/aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing/mobilenet-v2-precision_float-1.0-224/multistream,"tflite vmaster","Ubuntu 24.04 (linux-6.8.0-1021-aws-glibc2.39)","",1,0,v5.0,1,False,Latency (ms),"fp32"
GATEOverflow,available,open,"edge","i_06a0fc1c2eadb7d9f",aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing,mobilenet-v2-precision_float-1.0-224,resnet,Offline,46.8839,acc: 71.770,1,"Neoverse-N1",1,2,"N/A","0",open/GATEOverflow/results/aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing/mobilenet-v2-precision_float-1.0-224/offline,"tflite vmaster","Ubuntu 24.04 (linux-6.8.0-1021-aws-glibc2.39)","",1,0,v5.0,1,False,Samples/s,"fp32"
GATEOverflow,available,open,"edge","i_06a0fc1c2eadb7d9f",aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing,efficientnet-fp32-lite2,resnet,SingleStream,60.478763,acc: 77.542,1,"Neoverse-N1",1,2,"N/A","0",open/GATEOverflow/results/aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing/efficientnet-fp32-lite2/singlestream,"tflite vmaster","Ubuntu 24.04 (linux-6.8.0-1021-aws-glibc2.39)","",1,0,v5.0,0,False,Latency (ms),"fp32"
GATEOverflow,available,open,"edge","i_06a0fc1c2eadb7d9f",aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing,efficientnet-fp32-lite2,resnet,MultiStream,507.242584,acc: 77.542,1,"Neoverse-N1",1,2,"N/A","0",open/GATEOverflow/results/aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing/efficientnet-fp32-lite2/multistream,"tflite vmaster","Ubuntu 24.04 (linux-6.8.0-1021-aws-glibc2.39)","",1,0,v5.0,1,False,Latency (ms),"fp32"
GATEOverflow,available,open,"edge","i_06a0fc1c2eadb7d9f",aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing,efficientnet-fp32-lite2,resnet,Offline,16.6411,acc: 77.542,1,"Neoverse-N1",1,2,"N/A","0",open/GATEOverflow/results/aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing/efficientnet-fp32-lite2/offline,"tflite vmaster","Ubuntu 24.04 (linux-6.8.0-1021-aws-glibc2.39)","",1,0,v5.0,1,False,Samples/s,"fp32"
GATEOverflow,available,open,"edge","i_06a0fc1c2eadb7d9f",aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing,efficientnet-fp32-lite3,resnet,SingleStream,95.855711,acc: 79.268,1,"Neoverse-N1",1,2,"N/A","0",open/GATEOverflow/results/aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing/efficientnet-fp32-lite3/singlestream,"tflite vmaster","Ubuntu 24.04 (linux-6.8.0-1021-aws-glibc2.39)","",1,0,v5.0,0,False,Latency (ms),"fp32"
GATEOverflow,available,open,"edge","i_06a0fc1c2eadb7d9f",aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing,efficientnet-fp32-lite3,resnet,MultiStream,807.262368,acc: 79.268,1,"Neoverse-N1",1,2,"N/A","0",open/GATEOverflow/results/aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing/efficientnet-fp32-lite3/multistream,"tflite vmaster","Ubuntu 24.04 (linux-6.8.0-1021-aws-glibc2.39)","",1,0,v5.0,1,False,Latency (ms),"fp32"
GATEOverflow,available,open,"edge","i_06a0fc1c2eadb7d9f",aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing,efficientnet-fp32-lite3,resnet,Offline,10.5082,acc: 79.268,1,"Neoverse-N1",1,2,"N/A","0",open/GATEOverflow/results/aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing/efficientnet-fp32-lite3/offline,"tflite vmaster","Ubuntu 24.04 (linux-6.8.0-1021-aws-glibc2.39)","",1,0,v5.0,1,False,Samples/s,"fp32"
GATEOverflow,available,open,"edge","i_06a0fc1c2eadb7d9f",aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing,mobilenet-v1-precision_float-0.25-128,resnet,SingleStream,1.183146,acc: 44.116,1,"Neoverse-N1",1,2,"N/A","0",open/GATEOverflow/results/aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing/mobilenet-v1-precision_float-0.25-128/singlestream,"tflite vmaster","Ubuntu 24.04 (linux-6.8.0-1021-aws-glibc2.39)","",1,0,v5.0,0,False,Latency (ms),"fp32"
